latitude,longitude,area_sq_km,capacity_mw,capacity_factor,wind_speed_150meters,landfall_distance_to_transmission_km,bathymetry_meters,distance_to_coast_km
47.575,-125.546,112.7844,599.4068878,0.375277728,8.198390961,103.1090389,-1198.136108,75.12777344
47.602,-125.403,112.7844,599.4068878,0.367655098,8.100931168,103.1090389,-952.9210205,64.7528125
47.63,-125.261,112.7844,599.4068878,0.358504564,7.987761497,103.1090389,-811.6751709,54.45555078
47.657,-125.118,93.9519,499.3191964,0.349556476,7.874952793,103.1090389,-451.2274475,45.13486328
46.76,-129.013,8.0514,42.79017857,0.451066375,9.260714531,103.1090389,-2710.299805,337.3062188
46.791,-128.875,53.8488,286.1862245,0.44998455,9.243492126,103.1090389,-2700.540039,328.649125
46.821,-128.736,97.4187,517.7439413,0.448902488,9.221693993,103.1090389,-2748.463135,318.2543438
46.852,-128.597,112.7844,599.4068878,0.447197407,9.195238113,103.1090389,-2744.307617,308.0269688
46.882,-128.457,112.7844,599.4068878,0.445516586,9.164958954,103.1090389,-2658.399414,297.4552813
46.912,-128.318,106.8147,567.6801658,0.443457395,9.132823944,103.1090389,-2696.486328,287.0955313
46.942,-128.178,103.9797,552.6132015,0.441812873,9.104449272,103.1090389,-2723.608887,276.012125
46.972,-128.039,112.7844,599.4068878,0.440275788,9.076590538,103.1090389,-2722.773926,265.7631875
47.002,-127.899,112.7844,599.4068878,0.437981933,9.043726921,103.1090389,-2698.076416,255.2084688
47.032,-127.759,105.9966,563.3322704,0.435636282,9.010951042,103.1090389,-2688.277832,244.9082344
47.061,-127.619,105.0975,558.5538903,0.433416873,8.975329399,103.1090389,-2673.824951,233.8508281
47.091,-127.479,112.7844,599.4068878,0.43137747,8.942720413,103.1090389,-2662.454102,223.5813594
47.12,-127.338,112.7844,599.4068878,0.429146618,8.910310745,103.1090389,-2647.391846,213.0544063
47.149,-127.198,112.7844,599.4068878,0.426812947,8.873840332,103.1090389,-2623.978271,202.5371719
47.178,-127.057,100.0107,531.5194515,0.424108744,8.837098122,103.1090389,-2601.448486,192.2538438
47.207,-126.916,112.7844,599.4068878,0.421780437,8.80070591,103.1090389,-2578.734619,181.5381094
