,latitude,longitude,labels
202,47.15,-126.728,5
203,47.179,-126.587,5
204,47.207,-126.446,5
205,47.236,-126.305,5
206,47.264,-126.163,5
207,47.292,-126.022,5
208,47.32,-125.88,5
209,47.348,-125.738,5
210,47.376,-125.596,5
211,47.403,-125.454,5
212,47.431,-125.312,5
213,47.458,-125.17,5
214,47.485,-125.027,5
215,46.53,-129.189,5
216,46.56,-129.051,5
217,46.591,-128.913,5
218,46.622,-128.775,5
219,46.652,-128.636,5
220,46.682,-128.497,5
221,46.713,-128.358,5
222,46.743,-128.219,5
223,46.773,-128.08,5
224,46.802,-127.941,5
225,46.832,-127.801,5
226,46.862,-127.662,5
227,46.891,-127.522,5
228,46.92,-127.382,5
229,46.95,-127.242,5
230,46.979,-127.102,5
231,47.008,-126.962,5
232,47.036,-126.821,5
233,47.065,-126.68,5
234,47.094,-126.54,5
235,47.122,-126.399,5
236,47.15,-126.258,5
237,47.179,-126.117,5
238,47.207,-125.975,5
239,47.235,-125.834,5
240,47.262,-125.692,5
241,47.29,-125.551,5
242,47.318,-125.409,5
243,47.345,-125.267,5
244,47.372,-125.125,5
245,47.399,-124.982,5
246,46.445,-129.139,5
247,46.476,-129.001,5
248,46.507,-128.863,5
249,46.537,-128.725,5
250,46.567,-128.586,5
251,46.598,-128.448,5
252,46.628,-128.309,5
253,46.658,-128.17,5
254,46.688,-128.031,5
255,46.717,-127.892,5
256,46.747,-127.753,5
257,46.777,-127.613,5
258,46.806,-127.474,5
259,46.835,-127.334,5
260,46.864,-127.194,5
261,46.893,-127.054,5
262,46.922,-126.914,5
263,46.951,-126.774,5
264,46.98,-126.633,5
265,47.008,-126.493,5
266,47.037,-126.352,5
267,47.065,-126.211,5
268,47.093,-126.07,5
269,47.121,-125.929,5
270,47.149,-125.788,5
271,47.177,-125.647,5
272,47.204,-125.505,5
273,47.232,-125.363,5
274,47.259,-125.222,5
275,47.286,-125.08,5
276,47.314,-124.938,5
277,46.391,-128.951,5
278,46.422,-128.813,5
279,46.452,-128.675,5
280,46.483,-128.537,5
281,46.513,-128.398,5
282,46.543,-128.26,5
283,46.573,-128.121,5
284,46.603,-127.982,5
285,46.633,-127.843,5
286,46.662,-127.704,5
287,46.692,-127.565,5
288,46.721,-127.426,5
289,46.75,-127.286,5
290,46.779,-127.146,5
291,46.808,-127.007,5
292,46.837,-126.867,5
293,46.866,-126.727,5
294,46.894,-126.586,5
295,46.923,-126.446,5
296,46.951,-126.306,5
297,46.979,-126.165,5
298,47.008,-126.024,5
299,47.035,-125.883,5
300,47.063,-125.742,5
301,47.091,-125.601,5
302,47.119,-125.46,5
303,47.146,-125.318,5
304,47.173,-125.176,5
305,47.201,-125.035,5
306,47.228,-124.893,5
307,46.307,-128.901,5
308,46.337,-128.763,5
309,46.368,-128.626,5
310,46.398,-128.487,5
311,46.428,-128.349,5
312,46.458,-128.211,5
313,46.488,-128.072,5
314,46.518,-127.934,5
315,46.548,-127.795,5
316,46.577,-127.656,5
317,46.607,-127.517,5
318,46.636,-127.378,5
319,46.665,-127.238,5
320,46.694,-127.099,5
321,46.723,-126.959,5
322,46.752,-126.82,5
323,46.78,-126.68,5
324,46.809,-126.54,5
325,46.837,-126.399,5
326,46.866,-126.259,5
327,46.894,-126.119,5
328,46.922,-125.978,5
329,46.95,-125.837,5
330,46.978,-125.696,5
331,47.005,-125.555,5
332,47.033,-125.414,5
333,47.06,-125.273,5
334,47.088,-125.132,5
335,47.115,-124.99,5
336,47.142,-124.848,5
337,47.169,-124.706,5
338,46.192,-128.989,5
339,46.222,-128.852,5
340,46.253,-128.714,5
341,46.283,-128.576,5
342,46.313,-128.438,5
343,46.343,-128.3,5
344,46.373,-128.162,5
345,46.403,-128.024,5
346,46.433,-127.885,5
347,46.463,-127.747,5
348,46.492,-127.608,5
349,46.522,-127.469,5
350,46.551,-127.33,5
351,46.58,-127.191,5
352,46.609,-127.051,5
353,46.638,-126.912,5
