,latitude,longitude,k_cluster,count_in_cluster,Centroid_Lat,Centroid_Lon
15115,28.472,-93.213,9,1247,27.589976688102894,-91.55722347266881
15116,28.469,-93.101,9,1247,27.589976688102894,-91.55722347266881
15117,28.466,-92.988,9,1247,27.589976688102894,-91.55722347266881
15118,28.463,-92.876,9,1247,27.589976688102894,-91.55722347266881
15119,28.46,-92.764,9,1247,27.589976688102894,-91.55722347266881
15120,28.457,-92.652,9,1247,27.589976688102894,-91.55722347266881
15121,28.453,-92.54,9,1247,27.589976688102894,-91.55722347266881
15122,28.45,-92.427,9,1247,27.589976688102894,-91.55722347266881
15123,28.446,-92.315,9,1247,27.589976688102894,-91.55722347266881
15124,28.443,-92.203,9,1247,27.589976688102894,-91.55722347266881
15125,28.439,-92.091,9,1247,27.589976688102894,-91.55722347266881
15126,28.435,-91.979,9,1247,27.589976688102894,-91.55722347266881
15127,28.431,-91.867,9,1247,27.589976688102894,-91.55722347266881
15128,28.427,-91.754,9,1247,27.589976688102894,-91.55722347266881
15129,28.423,-91.642,9,1247,27.589976688102894,-91.55722347266881
15130,28.419,-91.53,9,1247,27.589976688102894,-91.55722347266881
15131,28.414,-91.418,9,1247,27.589976688102894,-91.55722347266881
15132,28.41,-91.306,9,1247,27.589976688102894,-91.55722347266881
15133,28.405,-91.194,9,1247,27.589976688102894,-91.55722347266881
15134,28.4,-91.082,9,1247,27.589976688102894,-91.55722347266881
15135,28.395,-90.97,9,1247,27.589976688102894,-91.55722347266881
15136,28.39,-90.858,9,1247,27.589976688102894,-91.55722347266881
15137,28.385,-90.746,9,1247,27.589976688102894,-91.55722347266881
15138,28.38,-90.634,9,1247,27.589976688102894,-91.55722347266881
15139,28.375,-90.522,9,1247,27.589976688102894,-91.55722347266881
15140,28.369,-90.41,9,1247,27.589976688102894,-91.55722347266881
15141,28.364,-90.298,9,1247,27.589976688102894,-91.55722347266881
15142,28.358,-90.186,9,1247,27.589976688102894,-91.55722347266881
15143,28.353,-90.074,9,1247,27.589976688102894,-91.55722347266881
15144,28.347,-89.962,9,1247,27.589976688102894,-91.55722347266881
15145,28.341,-89.85,9,1247,27.589976688102894,-91.55722347266881
15146,28.335,-89.738,2,1385,27.81260562364816,-87.9966582552271
15147,28.329,-89.626,2,1385,27.81260562364816,-87.9966582552271
15148,28.322,-89.515,2,1385,27.81260562364816,-87.9966582552271
15149,28.316,-89.403,2,1385,27.81260562364816,-87.9966582552271
15150,28.309,-89.291,2,1385,27.81260562364816,-87.9966582552271
15151,28.303,-89.179,2,1385,27.81260562364816,-87.9966582552271
15152,28.296,-89.067,2,1385,27.81260562364816,-87.9966582552271
15153,28.289,-88.956,2,1385,27.81260562364816,-87.9966582552271
15154,28.282,-88.844,2,1385,27.81260562364816,-87.9966582552271
15155,28.275,-88.732,2,1385,27.81260562364816,-87.9966582552271
15156,28.268,-88.621,2,1385,27.81260562364816,-87.9966582552271
