,latitude,longitude,label
4253,40.071,-126.996,0
4254,40.099,-126.87,0
4255,40.128,-126.745,0
4256,40.157,-126.619,0
4257,40.185,-126.494,0
4258,40.214,-126.368,0
4259,40.242,-126.242,0
4260,40.27,-126.116,0
4261,40.298,-125.99,0
4262,40.326,-125.864,0
4263,40.354,-125.738,0
4264,40.382,-125.611,0
4265,40.409,-125.485,0
4266,40.437,-125.358,0
4267,40.464,-125.231,0
4268,40.491,-125.104,0
4269,40.519,-124.977,0
4270,40.546,-124.85,0
4271,40.573,-124.723,0
4272,40.599,-124.596,0
4273,40.626,-124.468,0
4274,40.653,-124.341,0
4275,43.256,-87.806,-1
4276,43.181,-86.56,-1
4277,43.172,-86.422,-1
4278,43.163,-86.284,-1
4279,42.573,-79.708,-1
4280,42.557,-79.572,-1
4281,42.542,-79.437,-1
4282,42.526,-79.301,-1
4283,41.357,-71.319,1
4284,41.334,-71.189,1
4285,41.311,-71.059,1
4286,41.287,-70.929,1
4287,41.264,-70.799,1
4288,41.24,-70.669,1
4289,41.216,-70.539,1
4290,41.192,-70.409,1
4291,41.168,-70.279,1
4292,41.144,-70.15,1
4293,41.12,-70.02,1
4294,41.095,-69.891,1
4295,41.071,-69.762,1
4296,41.046,-69.632,1
4297,41.021,-69.503,1
4298,40.996,-69.374,1
4299,40.972,-69.245,1
4300,40.946,-69.117,1
4301,40.921,-68.988,1
4302,40.896,-68.859,1
4303,40.87,-68.731,1
4304,40.845,-68.602,1
4305,40.819,-68.474,1
4306,40.793,-68.346,1
4307,40.767,-68.218,1
4308,40.741,-68.09,1
4309,40.715,-67.962,1
4310,40.689,-67.834,1
4311,40.662,-67.707,1
4312,40.636,-67.579,1
4313,40.609,-67.452,1
4314,40.583,-67.324,1
4315,40.556,-67.197,1
4316,40.529,-67.07,1
4317,40.502,-66.943,1
4318,40.474,-66.816,1
4319,40.447,-66.689,1
4320,40.42,-66.563,1
4321,40.392,-66.436,1
4322,40.364,-66.31,1
4323,40.337,-66.183,1
4324,40.309,-66.057,1
4325,40.281,-65.931,1
4326,40.253,-65.805,1
4327,39.57,-128.694,0
4328,39.6,-128.57,0
4329,39.631,-128.446,0
4330,39.661,-128.323,0
4331,39.691,-128.199,0
4332,39.721,-128.075,0
4333,39.751,-127.951,0
4334,39.78,-127.826,0
4335,39.81,-127.702,0
4336,39.84,-127.577,0
4337,39.869,-127.453,0
4338,39.898,-127.328,0
4339,39.927,-127.203,0
4340,39.956,-127.078,0
4341,39.985,-126.953,0
4342,40.014,-126.828,0
4343,40.043,-126.703,0
4344,40.071,-126.577,0
4345,40.1,-126.452,0
4346,40.128,-126.326,0
4347,40.157,-126.201,0
4348,40.185,-126.075,0
4349,40.213,-125.949,0
4350,40.241,-125.823,0
4351,40.268,-125.697,0
4352,40.296,-125.57,0
4353,40.324,-125.444,0
4354,40.351,-125.317,0
4355,40.378,-125.191,0
4356,40.406,-125.064,0
4357,40.433,-124.937,0
4358,40.46,-124.81,0
4359,40.487,-124.683,0
4360,40.513,-124.556,0
4361,40.54,-124.429,0
4362,43.166,-87.818,-1
4363,43.083,-86.436,-1
4364,43.073,-86.298,-1
4365,42.499,-79.867,-1
4366,42.484,-79.731,-1
4367,42.469,-79.596,-1
4368,42.453,-79.461,-1
4369,41.316,-71.615,1
4370,41.293,-71.484,1
4371,41.27,-71.354,1
4372,41.247,-71.224,1
4373,41.224,-71.094,1
4374,41.2,-70.964,1
4375,41.177,-70.834,1
4376,41.153,-70.704,1
4377,41.129,-70.574,1
4378,41.105,-70.445,1
4379,41.081,-70.315,1
4380,41.057,-70.186,1
4381,41.033,-70.057,1
4382,41.009,-69.927,1
4383,40.984,-69.798,1
4384,40.96,-69.669,1
4385,40.935,-69.54,1
4386,40.91,-69.411,1
4387,40.885,-69.283,1
4388,40.86,-69.154,1
4389,40.835,-69.026,1
4390,40.81,-68.897,1
4391,40.784,-68.769,1
4392,40.759,-68.641,1
4393,40.733,-68.512,1
4394,40.707,-68.384,1
4395,40.681,-68.257,1
4396,40.655,-68.129,1
4397,40.629,-68.001,1
4398,40.603,-67.873,1
4399,40.576,-67.746,1
4400,40.55,-67.619,1
4401,40.523,-67.491,1
4402,40.497,-67.364,1
4403,40.47,-67.237,1
4404,40.443,-67.11,1
4405,40.416,-66.983,1
4406,40.389,-66.857,1
4407,40.361,-66.73,1
4408,40.334,-66.603,1
4409,40.306,-66.477,1
4410,40.279,-66.351,1
4411,40.251,-66.224,1
4412,40.223,-66.098,1
4413,40.195,-65.972,1
4414,40.167,-65.846,1
4415,39.485,-128.649,0
4416,39.516,-128.526,0
4417,39.546,-128.402,0
4418,39.576,-128.279,0
4419,39.606,-128.155,0
4420,39.636,-128.031,0
4421,39.666,-127.907,0
4422,39.695,-127.783,0
4423,39.725,-127.659,0
4424,39.754,-127.534,0
4425,39.784,-127.41,0
4426,39.813,-127.285,0
4427,39.842,-127.161,0
4428,39.871,-127.036,0
4429,39.9,-126.911,0
4430,39.929,-126.786,0
4431,39.958,-126.661,0
4432,39.986,-126.536,0
4433,40.015,-126.41,0
4434,40.043,-126.285,0
4435,40.071,-126.159,0
4436,40.099,-126.033,0
4437,40.127,-125.908,0
4438,40.155,-125.782,0
4439,40.183,-125.656,0
4440,40.21,-125.53,0
4441,40.238,-125.403,0
4442,40.265,-125.277,0
4443,40.293,-125.151,0
4444,40.32,-125.024,0
4445,40.347,-124.897,0
4446,40.374,-124.771,0
4447,40.401,-124.644,0
4448,40.427,-124.517,0
4449,43.077,-87.83,-1
4450,43.069,-87.692,-1
4451,43.053,-87.416,-1
4452,42.984,-86.312,-1
4453,42.441,-80.161,3
4454,42.426,-80.025,3
4455,42.411,-79.89,-1
4456,42.396,-79.755,-1
4457,42.38,-79.619,-1
4458,41.252,-71.779,1
4459,41.229,-71.649,1
4460,41.206,-71.519,1
4461,41.183,-71.389,1
4462,41.16,-71.259,1
4463,41.137,-71.129,1
4464,41.114,-70.999,1
4465,41.09,-70.869,1
4466,41.066,-70.74,1
4467,41.043,-70.61,1
4468,41.019,-70.481,1
